Price,Model Year,Mileage,Eng_Cap,City_Lahore,City_Islamabad,City_Karachi,City_Un-Registered,Eng_Type_Petrol,Eng_Type_Hybrid,Eng_Type_Diesel,Transmission_Manual,Transmission_Automatic,Body_Type_Hatchback,Body_Type_Sedan,Body_Type_SUV,Body_Type_Mini Van,Body_Type_Crossover,Make_Suzuki,Make_Toyota,Make_Honda,Make_Daihatsu,Make_Nissan
1850000.0,2010,66000,1800,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2196000.0,2016,92000,1000,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
19000000.0,2012,60391,5700,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5700000.0,2017,29635,1800,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
894999.9999999999,1999,93000,1600,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1525000.0,2013,99000,1000,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2100000.0,2014,98000,1300,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
4750000.0,2017,16000,1500,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
2145000.0,2017,70000,1300,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
3175000.0,2017,45000,1800,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1590000.0,2015,67500,660,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1325000.0,2016,100000,1000,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1880000.0,2011,131000,1500,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
635000.0,1993,160000,2200,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2160000.0,2016,82000,1300,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
4000000.0,2014,95000,2500,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1950000.0,2007,150000,1500,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1190000.0,2019,6720,800,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
